distribution,sample_size,contamination_rate,outlier_scale_mad,contamination_type,true_mean,scenario_mode,estimator,mse,mse_q95,mse_max,bias,abs_bias,variance,mad,iqr,winner_k,winner_estimator_str,winner_robust_q95_mse,winner_robust_mean_mse,winner_robust_max_mse
normal,300,0,1.5,upper_tail,3,full,biweight,0.021925880514656253,0.07037708126567192,0.07037708126567192,0.052372738191517776,0.052372738191517776,0.021314418676643344,0.0924248064836839,0.16260932415371565,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.01,1.5,upper_tail,3,full,robust,1.0344141228155586,1.645917171099172,1.645917171099172,-0.9992112380855684,0.9992112380855684,0.03999002722118206,0.17115827257353033,0.3215998794817383,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.01,1.5,upper_tail,3,full,mean,0.01889000847653307,0.04244888335751141,0.04244888335751141,0.047603040185704604,0.047603040185704604,0.018471065601790293,0.0638723317377079,0.1372487848047621,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.01,1.5,upper_tail,3,full,median,0.10578512130700617,0.30510158282477934,0.30510158282477934,0.216125872714501,0.216125872714501,0.06563858716711275,0.18750328258081717,0.3695265636192522,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.01,1.5,upper_tail,3,full,trimmed20,0.03386239041969245,0.11192238899309065,0.11192238899309065,0.10624732558487082,0.10624732558487082,0.025082106917505453,0.08171453659686545,0.14420932808249187,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.01,1.5,upper_tail,3,full,harmonic,3.1947752438501733,4.945937315174081,4.945937315174081,-1.7670786175728266,1.7670786175728266,0.08023155907453439,0.24152275063403428,0.3895479765182721,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.01,1.5,upper_tail,3,full,geometric,0.07265702906590026,0.2211641962137786,0.2211641962137786,-0.23134734808093027,0.23134734808093027,0.021261592890912354,0.11346081931977126,0.2102716308967647,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.01,1.5,upper_tail,3,full,mode_hsm,3.025165272097743,6.606035001761198,6.606035001761198,0.41312967268311285,0.41312967268311285,3.1716546062738744,0.3974523047075973,2.5430258946627813,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.01,1.5,upper_tail,3,full,mode_parzen,2.7273065973726864,3.909245436411128,3.909245436411128,0.900612706182252,0.900612706182252,2.1291148342619635,0.17132535837177088,0.3637623336298743,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.01,1.5,upper_tail,3,full,trimean,0.046535410964842906,0.13244009187771258,0.13244009187771258,0.1366679951973726,0.1366679951973726,0.03095252228174866,0.1027616932704214,0.1800160748985733,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
normal,300,0.01,1.5,upper_tail,3,full,huber,0.02667652086870682,0.07494680245449367,0.07494680245449367,0.08022457436316444,0.08022457436316444,0.022489487263284355,0.09954938043827544,0.15208519563260925,1,0*mean + 0*median + 0*trimmed20 + 0.5*harmonic + 0.5*geometric + 0*mode_hsm + 0*mode_parzen + 0*trimean + 0*huber + 0*biweight,1.4182805365746165,0.7942893150443596,1.4295881726250563
