contamination_rate,outlier_scale_mad,contamination_type,scenario_id
0.02,1.5,mixture_bimodal_far,SC00507
0.05,1.5,mixture_bimodal_far,SC00508
0.1,1.5,mixture_bimodal_far,SC00509
0.15,1.5,mixture_bimodal_far,SC00510
0.2,1.5,mixture_bimodal_far,SC00511
0.3,1.5,mixture_bimodal_far,SC00512
0,3,mixture_bimodal_far,SC00513
0.01,3,mixture_bimodal_far,SC00514
0.02,3,mixture_bimodal_far,SC00515
0.05,3,mixture_bimodal_far,SC00516
0.1,3,mixture_bimodal_far,SC00517
0.15,3,mixture_bimodal_far,SC00518
0.2,3,mixture_bimodal_far,SC00519
0.3,3,mixture_bimodal_far,SC00520
0,4.5,mixture_bimodal_far,SC00521
0.01,4.5,mixture_bimodal_far,SC00522
0.02,4.5,mixture_bimodal_far,SC00523
0.05,4.5,mixture_bimodal_far,SC00524
0.1,4.5,mixture_bimodal_far,SC00525
0.15,4.5,mixture_bimodal_far,SC00526
0.2,4.5,mixture_bimodal_far,SC00527
0.3,4.5,mixture_bimodal_far,SC00528
0,6,mixture_bimodal_far,SC00529
0.01,6,mixture_bimodal_far,SC00530
0.02,6,mixture_bimodal_far,SC00531
0.05,6,mixture_bimodal_far,SC00532
0.1,6,mixture_bimodal_far,SC00533
0.15,6,mixture_bimodal_far,SC00534
0.2,6,mixture_bimodal_far,SC00535
0.3,6,mixture_bimodal_far,SC00536
0,9,mixture_bimodal_far,SC00537
0.01,9,mixture_bimodal_far,SC00538
0.02,9,mixture_bimodal_far,SC00539
0.05,9,mixture_bimodal_far,SC00540
0.1,9,mixture_bimodal_far,SC00541
0.15,9,mixture_bimodal_far,SC00542
0.2,9,mixture_bimodal_far,SC00543
0.3,9,mixture_bimodal_far,SC00544
0,12,mixture_bimodal_far,SC00545
0.01,12,mixture_bimodal_far,SC00546
0.02,12,mixture_bimodal_far,SC00547
0.05,12,mixture_bimodal_far,SC00548
0.1,12,mixture_bimodal_far,SC00549
0.15,12,mixture_bimodal_far,SC00550
0.2,12,mixture_bimodal_far,SC00551
0.3,12,mixture_bimodal_far,SC00552
0,15,mixture_bimodal_far,SC00553
0.01,15,mixture_bimodal_far,SC00554
0.02,15,mixture_bimodal_far,SC00555
